,sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,priors_count.1,two_year_recid
0,1,69,1,0,0,0,0,0,0,0
1,1,34,1,0,0,0,0,0,0,1
2,1,24,1,0,0,1,4,0,4,1
3,1,23,1,0,1,0,1,0,1,0
4,1,43,1,0,0,0,2,0,2,0
5,1,44,1,0,0,0,0,1,0,0
6,1,41,0,0,0,0,14,0,14,1
7,1,43,1,0,0,0,3,0,3,0
8,0,39,0,0,0,0,0,1,0,0
9,1,21,0,0,0,0,1,0,1,1
10,1,27,0,0,0,0,0,0,0,0
11,1,23,1,0,0,0,3,1,3,1
12,0,37,0,0,0,0,0,1,0,0
13,1,41,1,0,0,0,0,0,0,0
14,0,47,0,0,0,0,1,0,1,1
15,1,31,1,0,0,0,7,0,7,1
16,1,37,1,0,0,0,0,1,0,0
17,1,25,1,0,0,0,3,0,3,0
18,1,31,0,0,0,0,6,0,6,1
19,1,31,0,0,0,0,5,0,5,1
20,1,64,1,0,0,0,13,0,13,1
21,1,21,1,0,0,0,1,0,1,1
22,1,27,0,0,0,0,0,1,0,1
23,0,21,0,0,0,0,0,0,0,0
24,1,24,1,0,0,0,1,0,1,1
25,1,43,0,0,0,0,1,1,1,0
26,1,32,1,0,0,0,0,1,0,0
27,1,27,1,0,0,0,8,0,8,1
28,0,36,0,0,0,0,3,0,3,0
29,1,26,1,0,0,1,5,0,5,1
30,1,33,1,0,0,0,0,0,0,1
31,1,30,0,0,0,0,9,0,9,1
32,1,32,1,0,0,0,4,0,4,1
33,1,55,0,0,0,0,0,0,0,0
34,1,49,1,0,0,0,7,0,7,1
35,1,26,0,0,0,2,6,1,6,0
36,0,33,0,0,0,0,4,1,4,1
37,1,24,0,0,0,0,1,1,1,1
38,1,34,1,2,1,3,21,0,21,1
39,1,29,0,0,0,0,0,1,0,0
40,0,21,1,0,0,0,2,0,2,0
41,1,51,1,0,0,0,2,1,2,0
42,1,29,0,0,0,0,2,1,2,1
43,0,51,1,0,0,0,7,0,7,0
44,1,29,1,0,0,0,0,0,0,1
45,1,25,0,0,0,0,9,1,9,1
46,1,35,1,1,0,4,13,0,13,1
47,1,49,0,0,0,0,0,1,0,0
48,1,34,1,0,0,0,4,1,4,1
49,1,29,1,0,0,0,0,0,0,0
50,1,29,0,0,0,0,1,0,1,1
51,0,28,1,0,0,0,0,0,0,0
52,1,48,0,0,0,0,20,0,20,1
53,0,63,1,0,0,0,1,0,1,0
54,1,31,1,0,0,1,15,0,15,0
55,1,24,1,0,0,0,2,0,2,1
56,1,30,1,0,0,0,0,1,0,0
57,1,49,1,0,0,0,4,1,4,0
58,1,53,0,0,0,0,8,0,8,0
59,1,35,1,0,0,0,5,0,5,0
60,1,63,1,0,0,0,10,1,10,1
61,1,27,1,1,1,2,15,0,15,1
62,1,38,0,0,0,0,4,1,4,1
63,1,22,1,0,0,1,1,0,1,1
64,1,22,1,0,1,2,2,0,2,1
65,1,29,1,0,0,0,4,0,4,1
66,1,62,1,0,0,0,0,1,0,0
67,1,27,1,0,1,0,6,0,6,1
68,1,33,1,0,0,0,0,1,0,0
69,0,56,1,0,0,0,0,1,0,0
70,1,45,1,0,0,0,6,0,6,1
71,1,22,1,0,0,0,1,0,1,0
72,1,39,1,0,0,0,1,1,1,0
73,1,29,1,0,0,0,5,0,5,1
74,1,27,0,0,0,1,1,0,1,1
75,1,40,1,0,0,0,2,0,2,0
76,1,22,1,0,0,0,1,1,1,1
77,1,22,0,0,0,0,0,0,0,0
78,0,26,1,0,0,0,1,0,1,1
79,1,27,0,0,0,0,1,0,1,1
80,1,32,1,0,0,0,0,0,0,0
81,1,41,1,0,0,0,1,1,1,0
82,1,30,1,0,0,0,8,1,8,1
83,1,50,1,0,0,0,0,0,0,1
84,1,25,1,1,6,1,14,0,14,1
85,1,20,1,0,0,0,0,0,0,1
86,1,22,1,1,0,0,2,0,2,1
87,1,23,1,0,0,1,2,1,2,1
88,0,35,1,0,0,0,1,1,1,0
89,1,36,1,0,0,0,9,0,9,1
90,1,26,0,0,0,0,7,0,7,1
91,1,21,1,0,0,0,1,0,1,1
92,1,25,0,0,0,0,9,0,9,1
93,1,71,1,0,0,0,12,1,12,0
94,0,20,0,0,0,0,0,0,0,0
95,1,39,0,0,0,0,2,0,2,1
96,1,66,0,0,0,0,3,0,3,0
97,0,54,0,0,0,0,0,1,0,0
98,0,44,1,0,0,0,0,1,0,0
99,1,19,1,0,0,0,1,1,1,1
100,1,24,1,0,0,0,1,0,1,0
101,1,30,1,0,0,0,1,0,1,0
102,0,39,0,0,0,0,0,0,0,1
103,1,24,0,0,1,2,8,0,8,1
104,1,30,0,0,0,0,0,0,0,0
105,1,31,0,0,0,0,0,1,0,0
106,0,39,0,0,0,0,1,0,1,0
107,1,59,1,0,0,0,14,0,14,1
108,1,43,0,0,0,0,1,0,1,0
109,1,21,1,0,0,0,3,0,3,1
110,1,38,0,0,0,0,5,1,5,1
111,1,34,0,0,0,0,0,0,0,0
112,1,33,1,0,0,0,5,0,5,1
113,1,37,1,0,0,0,3,0,3,0
114,1,42,0,0,0,0,1,0,1,1
115,1,41,1,0,1,0,10,0,10,1
116,1,22,1,0,0,0,0,0,0,1
117,1,33,1,0,12,2,28,0,28,1
118,1,31,1,0,0,0,1,1,1,0
119,0,30,1,0,0,0,1,0,1,0
120,1,31,0,0,0,0,13,0,13,1
121,1,27,1,0,0,0,3,0,3,1
122,1,56,1,0,0,0,8,0,8,0
123,1,52,0,0,0,0,3,1,3,0
124,1,33,1,0,0,0,19,0,19,1
125,0,64,0,0,0,0,2,1,2,0
126,1,22,0,0,0,0,4,0,4,1
127,1,42,0,0,0,0,6,0,6,0
128,0,25,0,0,0,0,2,0,2,0
129,1,30,0,0,0,0,1,1,1,0
130,1,28,0,0,0,0,2,0,2,0
131,0,37,1,0,0,0,2,1,2,0
132,1,28,0,0,0,0,0,1,0,1
133,0,24,1,0,0,0,0,1,0,0
134,0,29,0,0,1,0,10,0,10,1
135,1,44,0,0,0,0,2,1,2,1
136,0,30,1,0,0,0,4,0,4,1
137,1,32,1,0,0,0,3,0,3,1
138,1,31,0,0,0,0,2,1,2,1
139,1,31,1,0,0,0,1,1,1,0
140,1,59,0,0,0,0,1,0,1,1
141,0,45,0,0,0,0,4,0,4,0
142,0,20,1,1,0,0,1,0,1,0
143,0,43,0,0,0,0,0,1,0,0
144,1,38,1,1,1,0,9,0,9,1
145,1,32,1,0,0,0,11,0,11,1
146,1,33,1,0,0,0,8,1,8,1
147,0,31,1,0,0,0,0,0,0,1
148,0,33,1,0,0,0,7,0,7,1
149,1,27,1,0,0,0,2,0,2,1
150,0,20,1,0,0,0,0,0,0,0
151,0,26,0,0,0,0,0,1,0,0
152,0,61,1,0,0,0,1,0,1,1
153,1,52,1,0,0,0,13,0,13,1
154,1,63,1,0,0,0,1,0,1,0
155,0,32,1,0,0,0,4,0,4,1
156,1,29,1,0,0,0,1,0,1,0
157,0,46,1,0,0,0,1,0,1,0
158,0,26,1,0,0,0,2,1,2,1
159,1,55,1,0,0,0,3,1,3,0
160,1,39,0,1,0,0,1,1,1,0
161,0,30,0,0,0,0,3,0,3,1
162,1,30,1,0,0,0,1,0,1,0
163,1,48,0,0,0,0,2,1,2,0
164,1,22,1,0,0,0,1,0,1,0
165,1,46,0,0,0,0,6,0,6,1
166,0,49,0,0,0,0,6,0,6,0
167,1,31,0,0,0,0,0,0,0,0
168,1,25,1,0,0,0,1,1,1,1
169,1,23,1,0,0,0,0,0,0,0
170,0,32,1,0,0,0,5,0,5,0
171,1,52,1,0,0,0,2,1,2,0
172,1,62,1,0,0,0,8,0,8,0
173,0,37,0,0,0,0,6,0,6,0
174,1,55,0,0,0,0,1,0,1,0
175,1,31,1,0,0,0,8,0,8,1
176,1,28,1,0,0,0,6,1,6,1
177,1,54,1,0,0,0,2,0,2,0
178,1,58,1,0,0,0,0,0,0,0
179,1,78,0,0,0,0,1,1,1,1
180,1,56,0,0,0,0,0,0,0,0
181,1,24,1,0,0,0,0,0,0,0
182,1,38,1,2,2,1,22,0,22,1
183,1,22,1,0,0,0,1,0,1,1
184,1,47,1,0,0,0,23,1,23,1
185,1,23,1,0,0,0,0,1,0,1
186,1,57,1,0,0,0,1,0,1,0
187,0,38,0,0,0,0,2,0,2,1
188,1,66,1,0,0,0,3,0,3,0
189,1,45,0,0,0,0,8,1,8,1
190,0,52,1,0,0,0,0,1,0,1
191,1,32,1,0,0,0,13,0,13,1
192,1,37,1,0,0,0,2,1,2,1
193,1,39,0,0,0,0,0,0,0,1
194,1,26,1,0,0,0,9,0,9,1
195,1,45,0,0,0,0,2,0,2,0
196,1,23,1,0,0,0,0,0,0,1
197,1,34,1,0,0,0,2,1,2,0
198,0,23,1,0,0,0,1,1,1,0
199,1,36,1,0,0,0,2,1,2,1
200,1,50,0,0,0,0,1,0,1,0
201,0,37,0,0,0,0,0,1,0,0
202,1,44,0,0,0,0,4,1,4,0
203,0,35,1,0,1,0,23,0,23,1
204,1,24,1,0,0,0,5,0,5,1
205,1,26,1,0,0,0,2,0,2,1
206,1,27,1,0,0,0,0,1,0,0
207,0,28,1,0,0,0,0,0,0,0
208,1,43,0,0,0,0,11,0,11,1
209,0,28,0,0,0,0,7,0,7,1
210,1,38,1,0,0,0,2,0,2,0
211,1,27,0,0,0,0,2,1,2,0
212,0,28,1,0,0,0,1,0,1,0
213,1,56,0,0,0,0,7,0,7,1
214,1,38,1,0,0,0,15,0,15,0
215,1,28,1,0,0,0,2,1,2,0
216,1,45,1,0,0,0,3,0,3,0
217,1,28,1,0,0,0,0,1,0,0
218,1,61,0,0,0,0,1,0,1,0
219,0,51,0,0,0,0,0,1,0,1
220,1,51,0,0,0,0,0,1,0,0
221,1,36,1,0,0,0,1,1,1,1
222,1,48,1,0,0,0,0,0,0,0
223,1,37,0,0,0,0,4,0,4,1
224,0,30,1,0,0,0,2,0,2,0
225,0,41,1,0,0,0,5,1,5,0
226,1,27,1,0,0,0,11,0,11,1
227,1,37,1,0,0,0,0,1,0,0
228,1,33,1,0,0,0,4,0,4,1
229,1,54,1,0,0,0,11,0,11,0
230,1,23,1,0,0,0,2,0,2,0
231,0,26,1,0,0,0,2,0,2,1
232,1,41,1,0,0,0,0,1,0,0
233,1,52,0,0,0,0,0,0,0,0
234,1,43,0,0,0,0,13,0,13,1
235,1,52,1,0,0,0,0,0,0,0
236,1,28,0,0,0,0,1,0,1,0
237,1,30,1,0,0,2,11,1,11,1
238,1,28,0,0,0,0,1,0,1,0
239,1,22,1,0,0,0,0,0,0,0
240,1,30,1,0,0,0,4,0,4,0
241,1,25,1,0,0,0,4,0,4,0
242,1,31,0,0,0,0,0,0,0,1
243,1,37,0,0,0,0,0,0,0,1
244,1,32,1,0,1,0,14,0,14,0
245,1,26,1,0,1,0,4,1,4,0
246,1,53,0,0,0,0,1,1,1,0
247,1,28,1,0,0,0,25,0,25,1
248,1,44,0,0,0,0,8,1,8,1
249,1,25,1,0,0,0,0,0,0,0
250,1,22,0,0,0,1,1,1,1,1
251,0,37,1,0,0,0,0,1,0,0
252,0,40,1,0,0,0,3,0,3,0
253,1,36,0,0,0,0,8,0,8,1
254,1,30,0,0,0,0,4,0,4,0
255,1,22,1,0,0,0,3,1,3,1
256,0,24,0,0,0,0,1,1,1,1
257,1,27,1,0,0,0,3,1,3,1
258,0,31,1,0,0,0,0,1,0,0
259,1,23,1,0,0,1,1,0,1,1
260,0,23,0,0,0,4,5,0,5,1
261,1,24,1,0,0,0,0,1,0,0
262,1,29,1,0,0,0,1,1,1,0
263,1,20,1,0,0,0,1,0,1,1
264,1,30,1,0,0,0,2,0,2,1
265,1,39,1,0,0,0,0,0,0,0
266,1,27,1,0,0,0,4,0,4,0
267,1,31,0,0,0,0,2,1,2,0
268,0,37,1,0,0,0,2,0,2,0
269,1,20,1,0,0,0,0,0,0,0
270,1,22,1,0,0,1,0,0,0,0
271,0,52,1,0,0,0,0,0,0,0
272,0,23,1,0,0,0,0,0,0,1
273,0,48,1,0,0,0,0,0,0,0
274,1,66,1,0,0,0,8,0,8,1
275,1,25,0,0,0,0,0,0,0,0
276,1,27,0,0,0,0,0,0,0,1
277,1,30,1,0,0,0,11,0,11,1
278,1,22,1,0,1,1,3,1,3,1
279,0,22,0,0,0,0,1,0,1,0
280,1,35,1,0,0,0,2,0,2,0
281,1,32,0,0,0,0,2,0,2,0
282,0,41,1,0,0,0,2,1,2,0
283,0,25,1,0,0,0,0,0,0,0
284,1,44,1,0,0,0,24,1,24,0
285,1,52,1,0,0,0,3,0,3,1
286,1,43,1,0,0,0,0,0,0,0
287,1,37,0,0,0,0,3,0,3,0
288,1,28,1,0,0,0,3,1,3,1
289,1,70,0,0,0,0,1,1,1,0
290,1,54,0,0,0,0,6,0,6,1
291,1,46,0,0,0,0,3,0,3,0
292,1,21,1,0,0,0,0,1,0,1
293,1,26,1,0,0,0,1,1,1,1
294,1,38,1,0,0,0,3,0,3,1
295,1,34,0,0,0,0,5,1,5,0
296,1,19,1,0,0,0,1,0,1,1
297,1,34,1,0,0,0,5,1,5,0
298,1,23,0,0,0,0,0,0,0,1
299,1,34,1,0,0,0,5,0,5,1
300,1,30,1,0,0,0,2,0,2,0
301,1,39,1,0,0,0,6,0,6,1
302,1,24,1,0,0,0,0,0,0,0
303,1,33,0,0,0,0,1,1,1,1
304,1,58,0,0,0,0,2,0,2,0
305,0,21,1,0,0,0,0,1,0,0
306,1,21,1,0,0,0,1,0,1,0
307,1,23,1,0,0,1,4,1,4,1
308,1,62,0,0,0,0,0,0,0,0
309,1,27,1,1,0,1,4,1,4,1
310,1,37,0,0,0,0,5,0,5,0
311,1,43,1,0,0,0,2,0,2,1
312,0,32,1,0,0,0,5,0,5,0
313,1,23,1,0,0,0,0,0,0,0
314,1,27,1,0,0,0,0,1,0,0
315,1,44,0,0,0,0,0,1,0,1
316,1,28,0,0,0,0,3,1,3,1
317,0,42,0,0,0,0,0,0,0,0
318,1,24,1,0,1,0,9,0,9,1
319,1,27,1,0,0,0,0,0,0,0
320,1,20,1,0,0,0,0,0,0,1
321,0,51,0,0,0,0,0,1,0,0
322,1,56,0,0,0,0,0,1,0,0
323,1,29,1,0,0,0,7,0,7,0
324,1,20,1,0,0,0,0,0,0,1
325,1,53,0,0,0,0,6,0,6,0
326,1,27,0,0,0,0,8,0,8,0
327,1,24,1,0,1,0,2,0,2,1
328,1,53,0,0,0,0,36,0,36,1
329,1,28,0,0,0,0,2,1,2,1
330,1,45,1,0,0,0,1,0,1,0
331,1,21,1,0,1,0,3,0,3,0
332,0,36,1,0,0,0,0,0,0,0
333,0,25,0,0,0,0,2,1,2,1
334,0,23,1,0,0,0,1,1,1,0
335,1,28,0,0,0,0,1,0,1,0
336,0,21,1,0,0,0,0,0,0,1
337,1,36,0,0,0,0,0,1,0,0
338,1,24,1,0,0,0,0,0,0,0
339,1,28,1,0,0,0,3,0,3,1
340,1,30,1,0,0,0,1,0,1,1
341,1,29,1,0,0,0,0,0,0,0
342,0,30,0,0,0,0,0,1,0,0
343,1,51,1,0,0,0,1,1,1,0
344,1,33,1,0,0,0,3,0,3,0
345,0,25,1,0,0,0,2,0,2,0
346,1,32,1,0,1,0,12,0,12,1
347,1,23,1,0,0,1,1,0,1,0
348,1,47,1,0,0,0,3,0,3,0
349,0,32,1,0,0,0,1,0,1,1
350,1,37,0,0,0,0,0,0,0,0
351,1,19,1,0,2,0,2,0,2,1
352,1,27,1,0,0,0,0,1,0,0
353,1,39,1,0,0,0,0,1,0,0
354,0,21,0,0,0,2,0,0,0,0
355,1,69,0,0,0,0,0,1,0,0
356,1,21,0,0,0,0,2,0,2,0
357,1,26,1,0,0,1,6,1,6,1
358,1,22,0,0,0,0,0,0,0,0
359,0,23,1,0,0,0,0,0,0,1
360,1,49,1,0,0,0,3,0,3,0
361,1,29,1,0,0,1,2,1,2,0
362,0,60,0,0,0,0,0,1,0,0
363,0,26,1,0,0,0,0,1,0,0
364,1,23,1,2,0,0,3,0,3,1
365,1,34,1,0,0,0,2,1,2,1
366,0,20,1,1,0,0,1,0,1,0
367,1,36,1,0,0,0,1,0,1,0
368,1,30,0,0,0,0,0,0,0,0
369,1,21,1,0,1,0,1,0,1,0
370,1,22,0,0,0,0,2,1,2,1
371,1,57,1,0,0,0,18,0,18,0
372,1,21,1,0,0,0,4,0,4,1
373,1,21,1,0,0,0,0,0,0,1
374,1,34,0,0,0,0,1,1,1,0
375,0,50,0,0,0,0,1,1,1,1
376,1,40,0,0,0,0,0,0,0,1
377,1,25,1,0,0,0,7,0,7,1
378,0,53,0,0,0,0,1,1,1,0
379,0,24,1,0,0,0,0,0,0,0
380,1,42,1,0,0,0,1,0,1,0
381,1,28,1,0,0,0,1,1,1,0
382,1,24,0,0,0,0,1,1,1,0
383,1,26,1,1,1,0,6,0,6,1
384,1,22,1,0,0,0,4,0,4,1
385,1,21,0,0,0,0,3,1,3,0
386,1,37,1,0,0,0,23,0,23,1
387,1,35,1,0,0,0,2,0,2,0
388,1,53,1,0,0,0,2,0,2,0
389,1,60,1,0,0,0,1,0,1,0
390,1,29,1,0,0,0,7,0,7,0
391,1,48,0,1,0,0,23,0,23,1
392,0,52,0,0,0,0,0,1,0,0
393,1,27,1,0,0,0,12,0,12,1
394,1,28,1,0,0,0,5,0,5,0
395,1,33,0,0,0,0,3,1,3,0
396,0,28,1,0,0,0,0,0,0,0
397,1,47,0,0,0,0,5,0,5,1
398,1,36,1,0,0,0,14,0,14,1
399,1,29,1,1,0,0,2,0,2,0
400,1,22,1,0,0,1,0,1,0,1
401,1,26,1,0,0,2,6,0,6,0
402,1,25,0,0,0,0,0,0,0,0
403,1,68,0,0,0,0,2,0,2,0
404,1,56,1,0,0,0,5,0,5,0
405,1,27,1,0,0,0,9,0,9,1
406,1,52,0,0,0,0,4,0,4,1
407,1,32,1,0,0,0,3,0,3,0
408,1,60,1,0,0,0,4,0,4,0
409,1,23,1,0,0,0,1,1,1,0
410,0,39,0,0,0,0,0,1,0,0
411,1,56,0,0,0,0,0,1,0,0
412,0,22,1,0,0,0,0,0,0,0
413,0,27,1,0,0,0,1,0,1,1
414,1,53,1,0,0,0,11,0,11,0
415,1,25,0,0,0,0,0,1,0,1
416,1,21,1,0,0,0,0,1,0,0
417,1,22,0,0,0,0,0,0,0,0
418,0,58,0,0,0,0,2,1,2,0
419,1,31,1,0,0,0,7,1,7,1
420,1,22,0,0,0,0,1,0,1,1
421,1,28,1,0,0,0,8,0,8,1
422,1,42,1,0,0,0,1,0,1,0
423,1,20,1,0,0,0,0,0,0,1
424,1,29,0,0,0,0,0,1,0,1
425,1,29,1,0,0,0,8,0,8,0
426,1,58,1,0,0,0,21,1,21,1
427,1,22,1,0,0,0,3,0,3,0
428,1,48,1,0,0,0,1,1,1,1
429,1,37,0,0,0,0,0,0,0,0
430,1,57,1,0,0,0,1,0,1,1
431,1,27,0,0,0,0,3,1,3,0
432,1,26,1,0,0,0,3,0,3,0
433,1,24,0,0,1,1,3,0,3,1
434,1,33,0,0,0,0,0,0,0,0
435,1,29,1,0,0,0,2,0,2,0
436,0,24,1,0,0,0,3,0,3,1
437,1,19,0,0,0,1,1,0,1,1
438,1,36,0,0,0,0,2,1,2,0
439,0,24,0,0,0,0,0,0,0,0
440,1,34,0,0,0,0,0,1,0,0
441,1,25,1,0,0,0,2,0,2,1
442,1,20,1,1,0,1,1,0,1,1
443,1,28,1,0,0,0,2,1,2,1
444,1,24,1,0,0,0,1,1,1,1
445,1,61,0,0,0,0,4,0,4,0
446,0,50,1,0,0,0,3,0,3,0
447,1,30,1,0,0,0,1,1,1,0
448,1,38,1,0,0,0,5,0,5,0
449,1,24,0,0,0,0,0,1,0,0
450,1,45,1,0,0,0,16,0,16,0
451,0,46,1,0,0,0,2,0,2,1
452,1,41,0,0,0,0,0,1,0,1
453,1,20,1,0,0,1,0,0,0,1
454,1,27,1,0,0,0,13,1,13,1
455,0,51,1,0,0,0,16,0,16,0
456,1,26,1,0,0,0,1,1,1,1
457,1,29,1,0,0,0,3,0,3,1
458,1,52,0,0,0,0,6,0,6,1
459,1,28,0,0,0,0,1,0,1,1
460,0,34,1,0,0,0,4,0,4,1
461,1,55,1,0,0,0,5,0,5,1
462,1,26,1,1,1,0,10,0,10,1
463,1,28,1,0,0,0,5,0,5,0
464,1,63,0,0,0,0,2,0,2,0
465,1,42,1,0,0,0,0,0,0,0
466,1,23,1,1,2,2,6,0,6,0
467,1,54,1,0,0,0,28,0,28,1
468,1,35,1,0,0,1,8,0,8,1
469,0,24,1,1,0,0,6,0,6,1
470,1,54,1,0,0,0,2,1,2,0
471,1,58,1,0,0,0,12,1,12,1
472,1,23,0,0,0,1,1,1,1,1
473,1,35,1,0,0,0,1,1,1,0
474,1,20,1,0,0,0,1,0,1,1
475,1,51,0,0,0,0,0,0,0,0
476,1,24,1,0,0,0,0,0,0,0
477,1,37,0,0,0,0,3,0,3,0
478,1,47,0,0,0,0,3,0,3,0
479,1,34,0,0,0,0,4,0,4,1
480,1,56,0,0,0,0,0,0,0,0
481,1,34,1,0,0,0,4,0,4,1
482,1,59,0,0,0,0,1,0,1,1
483,1,35,1,0,0,0,0,0,0,0
484,1,58,1,0,0,0,1,0,1,0
485,1,29,1,0,0,0,2,1,2,0
