,Unnamed: 0,sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,priors_count.1,two_year_recid
0,0,1,69,0,0,0,0,0,0,0
1,1,1,34,0,0,0,0,0,0,1
2,2,1,24,0,0,1,4,0,4,1
3,3,1,23,0,1,0,1,0,1,0
4,4,1,43,0,0,0,2,0,2,0
5,5,1,44,0,0,0,0,1,0,0
6,6,1,41,0,0,0,14,0,14,1
7,7,1,43,0,0,0,3,0,3,0
8,8,0,39,0,0,0,0,1,0,0
9,9,1,21,0,0,0,1,0,1,1
10,10,1,27,0,0,0,0,0,0,0
11,11,1,23,0,0,0,3,1,3,1
12,12,0,37,0,0,0,0,1,0,0
13,13,1,41,0,0,0,0,0,0,0
14,14,0,47,0,0,0,1,0,1,1
15,15,1,31,0,0,0,7,0,7,1
16,16,1,37,0,0,0,0,1,0,0
17,17,1,25,0,0,0,3,0,3,0
18,18,1,31,0,0,0,6,0,6,1
19,19,1,31,0,0,0,5,0,5,1
20,20,1,64,0,0,0,13,0,13,1
21,21,1,21,0,0,0,1,0,1,1
22,22,1,27,0,0,0,0,1,0,1
23,23,0,21,0,0,0,0,0,0,0
24,24,1,24,0,0,0,1,0,1,1
25,25,1,43,0,0,0,1,1,1,0
26,26,1,32,0,0,0,0,1,0,0
27,27,1,27,0,0,0,8,0,8,1
28,28,0,36,0,0,0,3,0,3,0
29,29,1,26,0,0,1,5,0,5,1
30,30,1,33,0,0,0,0,0,0,1
31,31,1,30,0,0,0,9,0,9,1
32,32,1,32,0,0,0,4,0,4,1
33,33,1,55,0,0,0,0,0,0,0
34,34,1,49,0,0,0,7,0,7,1
35,35,1,26,0,0,2,6,1,6,0
36,36,0,33,0,0,0,4,1,4,1
37,37,1,24,0,0,0,1,1,1,1
38,38,1,34,2,1,3,21,0,21,1
39,39,1,29,0,0,0,0,1,0,0
40,40,0,21,0,0,0,2,0,2,0
41,41,1,51,0,0,0,2,1,2,0
42,42,1,29,0,0,0,2,1,2,1
43,43,0,51,0,0,0,7,0,7,0
44,44,1,29,0,0,0,0,0,0,1
45,45,1,25,0,0,0,9,1,9,1
46,46,1,35,1,0,4,13,0,13,1
47,47,1,49,0,0,0,0,1,0,0
48,48,1,34,0,0,0,4,1,4,1
49,49,1,29,0,0,0,0,0,0,0
50,50,1,29,0,0,0,1,0,1,1
51,51,0,28,0,0,0,0,0,0,0
52,52,1,48,0,0,0,20,0,20,1
53,53,0,63,0,0,0,1,0,1,0
54,54,1,31,0,0,1,15,0,15,0
55,55,1,24,0,0,0,2,0,2,1
56,56,1,30,0,0,0,0,1,0,0
57,57,1,49,0,0,0,4,1,4,0
58,58,1,53,0,0,0,8,0,8,0
59,59,1,35,0,0,0,5,0,5,0
60,60,1,63,0,0,0,10,1,10,1
61,61,1,27,1,1,2,15,0,15,1
62,62,1,38,0,0,0,4,1,4,1
63,63,1,22,0,0,1,1,0,1,1
64,64,1,22,0,1,2,2,0,2,1
65,65,1,29,0,0,0,4,0,4,1
66,66,1,62,0,0,0,0,1,0,0
67,67,1,27,0,1,0,6,0,6,1
68,68,1,33,0,0,0,0,1,0,0
69,69,0,56,0,0,0,0,1,0,0
70,70,1,45,0,0,0,6,0,6,1
71,71,1,22,0,0,0,1,0,1,0
72,72,1,39,0,0,0,1,1,1,0
73,73,1,29,0,0,0,5,0,5,1
74,74,1,27,0,0,1,1,0,1,1
75,75,1,40,0,0,0,2,0,2,0
76,76,1,22,0,0,0,1,1,1,1
77,77,1,22,0,0,0,0,0,0,0
78,78,0,26,0,0,0,1,0,1,1
79,79,1,27,0,0,0,1,0,1,1
80,80,1,32,0,0,0,0,0,0,0
81,81,1,41,0,0,0,1,1,1,0
82,82,1,30,0,0,0,8,1,8,1
83,83,1,50,0,0,0,0,0,0,1
84,84,1,25,1,6,1,14,0,14,1
85,85,1,20,0,0,0,0,0,0,1
86,86,1,22,1,0,0,2,0,2,1
87,87,1,23,0,0,1,2,1,2,1
88,88,0,35,0,0,0,1,1,1,0
89,89,1,36,0,0,0,9,0,9,1
90,90,1,26,0,0,0,7,0,7,1
91,91,1,21,0,0,0,1,0,1,1
92,92,1,25,0,0,0,9,0,9,1
93,93,1,71,0,0,0,12,1,12,0
94,94,0,20,0,0,0,0,0,0,0
95,95,1,39,0,0,0,2,0,2,1
96,96,1,66,0,0,0,3,0,3,0
97,97,0,54,0,0,0,0,1,0,0
98,98,0,44,0,0,0,0,1,0,0
99,99,1,19,0,0,0,1,1,1,1
100,100,1,24,0,0,0,1,0,1,0
101,101,1,30,0,0,0,1,0,1,0
102,102,0,39,0,0,0,0,0,0,1
103,103,1,24,0,1,2,8,0,8,1
104,104,1,30,0,0,0,0,0,0,0
105,105,1,31,0,0,0,0,1,0,0
106,106,0,39,0,0,0,1,0,1,0
107,107,1,59,0,0,0,14,0,14,1
108,108,1,43,0,0,0,1,0,1,0
109,109,1,21,0,0,0,3,0,3,1
110,110,1,38,0,0,0,5,1,5,1
111,111,1,34,0,0,0,0,0,0,0
112,112,1,33,0,0,0,5,0,5,1
113,113,1,37,0,0,0,3,0,3,0
114,114,1,42,0,0,0,1,0,1,1
115,115,1,41,0,1,0,10,0,10,1
116,116,1,22,0,0,0,0,0,0,1
117,117,1,33,0,12,2,28,0,28,1
118,118,1,31,0,0,0,1,1,1,0
119,119,0,30,0,0,0,1,0,1,0
120,120,1,31,0,0,0,13,0,13,1
121,121,1,27,0,0,0,3,0,3,1
122,122,1,56,0,0,0,8,0,8,0
123,123,1,52,0,0,0,3,1,3,0
124,124,1,33,0,0,0,19,0,19,1
125,125,0,64,0,0,0,2,1,2,0
126,126,1,22,0,0,0,4,0,4,1
127,127,1,42,0,0,0,6,0,6,0
128,128,0,25,0,0,0,2,0,2,0
129,129,1,30,0,0,0,1,1,1,0
130,130,1,28,0,0,0,2,0,2,0
131,131,0,37,0,0,0,2,1,2,0
132,132,1,28,0,0,0,0,1,0,1
133,133,0,24,0,0,0,0,1,0,0
134,134,0,29,0,1,0,10,0,10,1
135,135,1,44,0,0,0,2,1,2,1
136,136,0,30,0,0,0,4,0,4,1
137,137,1,32,0,0,0,3,0,3,1
138,138,1,31,0,0,0,2,1,2,1
139,139,1,31,0,0,0,1,1,1,0
140,140,1,59,0,0,0,1,0,1,1
141,141,0,45,0,0,0,4,0,4,0
142,142,0,20,1,0,0,1,0,1,0
143,143,0,43,0,0,0,0,1,0,0
144,144,1,38,1,1,0,9,0,9,1
145,145,1,32,0,0,0,11,0,11,1
146,146,1,33,0,0,0,8,1,8,1
147,147,0,31,0,0,0,0,0,0,1
148,148,0,33,0,0,0,7,0,7,1
149,149,1,27,0,0,0,2,0,2,1
150,150,0,20,0,0,0,0,0,0,0
151,151,0,26,0,0,0,0,1,0,0
152,152,0,61,0,0,0,1,0,1,1
153,153,1,52,0,0,0,13,0,13,1
154,154,1,63,0,0,0,1,0,1,0
155,155,0,32,0,0,0,4,0,4,1
156,156,1,29,0,0,0,1,0,1,0
157,157,0,46,0,0,0,1,0,1,0
158,158,0,26,0,0,0,2,1,2,1
159,159,1,55,0,0,0,3,1,3,0
160,160,1,39,1,0,0,1,1,1,0
161,161,0,30,0,0,0,3,0,3,1
162,162,1,30,0,0,0,1,0,1,0
163,163,1,48,0,0,0,2,1,2,0
164,164,1,22,0,0,0,1,0,1,0
165,165,1,46,0,0,0,6,0,6,1
166,166,0,49,0,0,0,6,0,6,0
167,167,1,31,0,0,0,0,0,0,0
168,168,1,25,0,0,0,1,1,1,1
169,169,1,23,0,0,0,0,0,0,0
170,170,0,32,0,0,0,5,0,5,0
171,171,1,52,0,0,0,2,1,2,0
172,172,1,62,0,0,0,8,0,8,0
173,173,0,37,0,0,0,6,0,6,0
174,174,1,55,0,0,0,1,0,1,0
175,175,1,31,0,0,0,8,0,8,1
176,176,1,28,0,0,0,6,1,6,1
177,177,1,54,0,0,0,2,0,2,0
178,178,1,58,0,0,0,0,0,0,0
179,179,1,78,0,0,0,1,1,1,1
180,180,1,56,0,0,0,0,0,0,0
181,181,1,24,0,0,0,0,0,0,0
182,182,1,38,2,2,1,22,0,22,1
183,183,1,22,0,0,0,1,0,1,1
184,184,1,47,0,0,0,23,1,23,1
185,185,1,23,0,0,0,0,1,0,1
186,186,1,57,0,0,0,1,0,1,0
187,187,0,38,0,0,0,2,0,2,1
188,188,1,66,0,0,0,3,0,3,0
189,189,1,45,0,0,0,8,1,8,1
190,190,0,52,0,0,0,0,1,0,1
191,191,1,32,0,0,0,13,0,13,1
192,192,1,37,0,0,0,2,1,2,1
193,193,1,39,0,0,0,0,0,0,1
194,194,1,26,0,0,0,9,0,9,1
195,195,1,45,0,0,0,2,0,2,0
196,196,1,23,0,0,0,0,0,0,1
197,197,1,34,0,0,0,2,1,2,0
198,198,0,23,0,0,0,1,1,1,0
199,199,1,36,0,0,0,2,1,2,1
200,200,1,50,0,0,0,1,0,1,0
201,201,0,37,0,0,0,0,1,0,0
202,202,1,44,0,0,0,4,1,4,0
203,203,0,35,0,1,0,23,0,23,1
204,204,1,24,0,0,0,5,0,5,1
205,205,1,26,0,0,0,2,0,2,1
206,206,1,27,0,0,0,0,1,0,0
207,207,0,28,0,0,0,0,0,0,0
208,208,1,43,0,0,0,11,0,11,1
209,209,0,28,0,0,0,7,0,7,1
210,210,1,38,0,0,0,2,0,2,0
211,211,1,27,0,0,0,2,1,2,0
212,212,0,28,0,0,0,1,0,1,0
213,213,1,56,0,0,0,7,0,7,1
214,214,1,38,0,0,0,15,0,15,0
215,215,1,28,0,0,0,2,1,2,0
216,216,1,45,0,0,0,3,0,3,0
217,217,1,28,0,0,0,0,1,0,0
218,218,1,61,0,0,0,1,0,1,0
219,219,0,51,0,0,0,0,1,0,1
220,220,1,51,0,0,0,0,1,0,0
221,221,1,36,0,0,0,1,1,1,1
222,222,1,48,0,0,0,0,0,0,0
223,223,1,37,0,0,0,4,0,4,1
224,224,0,30,0,0,0,2,0,2,0
225,225,0,41,0,0,0,5,1,5,0
226,226,1,27,0,0,0,11,0,11,1
227,227,1,37,0,0,0,0,1,0,0
228,228,1,33,0,0,0,4,0,4,1
229,229,1,54,0,0,0,11,0,11,0
230,230,1,23,0,0,0,2,0,2,0
231,231,0,26,0,0,0,2,0,2,1
232,232,1,41,0,0,0,0,1,0,0
233,233,1,52,0,0,0,0,0,0,0
234,234,1,43,0,0,0,13,0,13,1
235,235,1,52,0,0,0,0,0,0,0
236,236,1,28,0,0,0,1,0,1,0
237,237,1,30,0,0,2,11,1,11,1
238,238,1,28,0,0,0,1,0,1,0
239,239,1,22,0,0,0,0,0,0,0
240,240,1,30,0,0,0,4,0,4,0
241,241,1,25,0,0,0,4,0,4,0
242,242,1,31,0,0,0,0,0,0,1
243,243,1,37,0,0,0,0,0,0,1
244,244,1,32,0,1,0,14,0,14,0
245,245,1,26,0,1,0,4,1,4,0
246,246,1,53,0,0,0,1,1,1,0
247,247,1,28,0,0,0,25,0,25,1
248,248,1,44,0,0,0,8,1,8,1
249,249,1,25,0,0,0,0,0,0,0
250,250,1,22,0,0,1,1,1,1,1
251,251,0,37,0,0,0,0,1,0,0
252,252,0,40,0,0,0,3,0,3,0
253,253,1,36,0,0,0,8,0,8,1
254,254,1,30,0,0,0,4,0,4,0
255,255,1,22,0,0,0,3,1,3,1
256,256,0,24,0,0,0,1,1,1,1
257,257,1,27,0,0,0,3,1,3,1
258,258,0,31,0,0,0,0,1,0,0
259,259,1,23,0,0,1,1,0,1,1
260,260,0,23,0,0,4,5,0,5,1
261,261,1,24,0,0,0,0,1,0,0
262,262,1,29,0,0,0,1,1,1,0
263,263,1,20,0,0,0,1,0,1,1
264,264,1,30,0,0,0,2,0,2,1
265,265,1,39,0,0,0,0,0,0,0
266,266,1,27,0,0,0,4,0,4,0
267,267,1,31,0,0,0,2,1,2,0
268,268,0,37,0,0,0,2,0,2,0
269,269,1,20,0,0,0,0,0,0,0
270,270,1,22,0,0,1,0,0,0,0
271,271,0,52,0,0,0,0,0,0,0
272,272,0,23,0,0,0,0,0,0,1
273,273,0,48,0,0,0,0,0,0,0
274,274,1,66,0,0,0,8,0,8,1
275,275,1,25,0,0,0,0,0,0,0
276,276,1,27,0,0,0,0,0,0,1
277,277,1,30,0,0,0,11,0,11,1
278,278,1,22,0,1,1,3,1,3,1
279,279,0,22,0,0,0,1,0,1,0
280,280,1,35,0,0,0,2,0,2,0
281,281,1,32,0,0,0,2,0,2,0
282,282,0,41,0,0,0,2,1,2,0
283,283,0,25,0,0,0,0,0,0,0
284,284,1,44,0,0,0,24,1,24,0
285,285,1,52,0,0,0,3,0,3,1
286,286,1,43,0,0,0,0,0,0,0
287,287,1,37,0,0,0,3,0,3,0
288,288,1,28,0,0,0,3,1,3,1
289,289,1,70,0,0,0,1,1,1,0
290,290,1,54,0,0,0,6,0,6,1
291,291,1,46,0,0,0,3,0,3,0
292,292,1,21,0,0,0,0,1,0,1
293,293,1,26,0,0,0,1,1,1,1
294,294,1,38,0,0,0,3,0,3,1
295,295,1,34,0,0,0,5,1,5,0
296,296,1,19,0,0,0,1,0,1,1
297,297,1,34,0,0,0,5,1,5,0
298,298,1,23,0,0,0,0,0,0,1
299,299,1,34,0,0,0,5,0,5,1
300,300,1,30,0,0,0,2,0,2,0
301,301,1,39,0,0,0,6,0,6,1
302,302,1,24,0,0,0,0,0,0,0
303,303,1,33,0,0,0,1,1,1,1
304,304,1,58,0,0,0,2,0,2,0
305,305,0,21,0,0,0,0,1,0,0
306,306,1,21,0,0,0,1,0,1,0
307,307,1,23,0,0,1,4,1,4,1
308,308,1,62,0,0,0,0,0,0,0
309,309,1,27,1,0,1,4,1,4,1
310,310,1,37,0,0,0,5,0,5,0
311,311,1,43,0,0,0,2,0,2,1
312,312,0,32,0,0,0,5,0,5,0
313,313,1,23,0,0,0,0,0,0,0
314,314,1,27,0,0,0,0,1,0,0
315,315,1,44,0,0,0,0,1,0,1
316,316,1,28,0,0,0,3,1,3,1
317,317,0,42,0,0,0,0,0,0,0
318,318,1,24,0,1,0,9,0,9,1
319,319,1,27,0,0,0,0,0,0,0
320,320,1,20,0,0,0,0,0,0,1
321,321,0,51,0,0,0,0,1,0,0
322,322,1,56,0,0,0,0,1,0,0
323,323,1,29,0,0,0,7,0,7,0
324,324,1,20,0,0,0,0,0,0,1
325,325,1,53,0,0,0,6,0,6,0
326,326,1,27,0,0,0,8,0,8,0
327,327,1,24,0,1,0,2,0,2,1
328,328,1,53,0,0,0,36,0,36,1
329,329,1,28,0,0,0,2,1,2,1
330,330,1,45,0,0,0,1,0,1,0
331,331,1,21,0,1,0,3,0,3,0
332,332,0,36,0,0,0,0,0,0,0
333,333,0,25,0,0,0,2,1,2,1
334,334,0,23,0,0,0,1,1,1,0
335,335,1,28,0,0,0,1,0,1,0
336,336,0,21,0,0,0,0,0,0,1
337,337,1,36,0,0,0,0,1,0,0
338,338,1,24,0,0,0,0,0,0,0
339,339,1,28,0,0,0,3,0,3,1
340,340,1,30,0,0,0,1,0,1,1
341,341,1,29,0,0,0,0,0,0,0
342,342,0,30,0,0,0,0,1,0,0
343,343,1,51,0,0,0,1,1,1,0
344,344,1,33,0,0,0,3,0,3,0
345,345,0,25,0,0,0,2,0,2,0
346,346,1,32,0,1,0,12,0,12,1
347,347,1,23,0,0,1,1,0,1,0
348,348,1,47,0,0,0,3,0,3,0
349,349,0,32,0,0,0,1,0,1,1
350,350,1,37,0,0,0,0,0,0,0
351,351,1,19,0,2,0,2,0,2,1
352,352,1,27,0,0,0,0,1,0,0
353,353,1,39,0,0,0,0,1,0,0
354,354,0,21,0,0,2,0,0,0,0
355,355,1,69,0,0,0,0,1,0,0
356,356,1,21,0,0,0,2,0,2,0
357,357,1,26,0,0,1,6,1,6,1
358,358,1,22,0,0,0,0,0,0,0
359,359,0,23,0,0,0,0,0,0,1
360,360,1,49,0,0,0,3,0,3,0
361,361,1,29,0,0,1,2,1,2,0
362,362,0,60,0,0,0,0,1,0,0
363,363,0,26,0,0,0,0,1,0,0
364,364,1,23,2,0,0,3,0,3,1
365,365,1,34,0,0,0,2,1,2,1
366,366,0,20,1,0,0,1,0,1,0
367,367,1,36,0,0,0,1,0,1,0
368,368,1,30,0,0,0,0,0,0,0
369,369,1,21,0,1,0,1,0,1,0
370,370,1,22,0,0,0,2,1,2,1
371,371,1,57,0,0,0,18,0,18,0
372,372,1,21,0,0,0,4,0,4,1
373,373,1,21,0,0,0,0,0,0,1
374,374,1,34,0,0,0,1,1,1,0
375,375,0,50,0,0,0,1,1,1,1
376,376,1,40,0,0,0,0,0,0,1
377,377,1,25,0,0,0,7,0,7,1
378,378,0,53,0,0,0,1,1,1,0
379,379,0,24,0,0,0,0,0,0,0
380,380,1,42,0,0,0,1,0,1,0
381,381,1,28,0,0,0,1,1,1,0
382,382,1,24,0,0,0,1,1,1,0
383,383,1,26,1,1,0,6,0,6,1
384,384,1,22,0,0,0,4,0,4,1
385,385,1,21,0,0,0,3,1,3,0
386,386,1,37,0,0,0,23,0,23,1
387,387,1,35,0,0,0,2,0,2,0
388,388,1,53,0,0,0,2,0,2,0
389,389,1,60,0,0,0,1,0,1,0
390,390,1,29,0,0,0,7,0,7,0
391,391,1,48,1,0,0,23,0,23,1
392,392,0,52,0,0,0,0,1,0,0
393,393,1,27,0,0,0,12,0,12,1
394,394,1,28,0,0,0,5,0,5,0
395,395,1,33,0,0,0,3,1,3,0
396,396,0,28,0,0,0,0,0,0,0
397,397,1,47,0,0,0,5,0,5,1
398,398,1,36,0,0,0,14,0,14,1
399,399,1,29,1,0,0,2,0,2,0
400,400,1,22,0,0,1,0,1,0,1
401,401,1,26,0,0,2,6,0,6,0
402,402,1,25,0,0,0,0,0,0,0
403,403,1,68,0,0,0,2,0,2,0
404,404,1,56,0,0,0,5,0,5,0
405,405,1,27,0,0,0,9,0,9,1
406,406,1,52,0,0,0,4,0,4,1
407,407,1,32,0,0,0,3,0,3,0
408,408,1,60,0,0,0,4,0,4,0
409,409,1,23,0,0,0,1,1,1,0
410,410,0,39,0,0,0,0,1,0,0
411,411,1,56,0,0,0,0,1,0,0
412,412,0,22,0,0,0,0,0,0,0
413,413,0,27,0,0,0,1,0,1,1
414,414,1,53,0,0,0,11,0,11,0
415,415,1,25,0,0,0,0,1,0,1
416,416,1,21,0,0,0,0,1,0,0
417,417,1,22,0,0,0,0,0,0,0
418,418,0,58,0,0,0,2,1,2,0
419,419,1,31,0,0,0,7,1,7,1
420,420,1,22,0,0,0,1,0,1,1
421,421,1,28,0,0,0,8,0,8,1
422,422,1,42,0,0,0,1,0,1,0
423,423,1,20,0,0,0,0,0,0,1
424,424,1,29,0,0,0,0,1,0,1
425,425,1,29,0,0,0,8,0,8,0
426,426,1,58,0,0,0,21,1,21,1
427,427,1,22,0,0,0,3,0,3,0
428,428,1,48,0,0,0,1,1,1,1
429,429,1,37,0,0,0,0,0,0,0
430,430,1,57,0,0,0,1,0,1,1
431,431,1,27,0,0,0,3,1,3,0
432,432,1,26,0,0,0,3,0,3,0
433,433,1,24,0,1,1,3,0,3,1
434,434,1,33,0,0,0,0,0,0,0
435,435,1,29,0,0,0,2,0,2,0
436,436,0,24,0,0,0,3,0,3,1
437,437,1,19,0,0,1,1,0,1,1
438,438,1,36,0,0,0,2,1,2,0
439,439,0,24,0,0,0,0,0,0,0
440,440,1,34,0,0,0,0,1,0,0
441,441,1,25,0,0,0,2,0,2,1
442,442,1,20,1,0,1,1,0,1,1
443,443,1,28,0,0,0,2,1,2,1
444,444,1,24,0,0,0,1,1,1,1
445,445,1,61,0,0,0,4,0,4,0
446,446,0,50,0,0,0,3,0,3,0
447,447,1,30,0,0,0,1,1,1,0
448,448,1,38,0,0,0,5,0,5,0
449,449,1,24,0,0,0,0,1,0,0
450,450,1,45,0,0,0,16,0,16,0
451,451,0,46,0,0,0,2,0,2,1
452,452,1,41,0,0,0,0,1,0,1
453,453,1,20,0,0,1,0,0,0,1
454,454,1,27,0,0,0,13,1,13,1
455,455,0,51,0,0,0,16,0,16,0
456,456,1,26,0,0,0,1,1,1,1
457,457,1,29,0,0,0,3,0,3,1
458,458,1,52,0,0,0,6,0,6,1
459,459,1,28,0,0,0,1,0,1,1
460,460,0,34,0,0,0,4,0,4,1
461,461,1,55,0,0,0,5,0,5,1
462,462,1,26,1,1,0,10,0,10,1
463,463,1,28,0,0,0,5,0,5,0
464,464,1,63,0,0,0,2,0,2,0
465,465,1,42,0,0,0,0,0,0,0
466,466,1,23,1,2,2,6,0,6,0
467,467,1,54,0,0,0,28,0,28,1
468,468,1,35,0,0,1,8,0,8,1
469,469,0,24,1,0,0,6,0,6,1
470,470,1,54,0,0,0,2,1,2,0
471,471,1,58,0,0,0,12,1,12,1
472,472,1,23,0,0,1,1,1,1,1
473,473,1,35,0,0,0,1,1,1,0
474,474,1,20,0,0,0,1,0,1,1
475,475,1,51,0,0,0,0,0,0,0
476,476,1,24,0,0,0,0,0,0,0
477,477,1,37,0,0,0,3,0,3,0
478,478,1,47,0,0,0,3,0,3,0
479,479,1,34,0,0,0,4,0,4,1
480,480,1,56,0,0,0,0,0,0,0
481,481,1,34,0,0,0,4,0,4,1
482,482,1,59,0,0,0,1,0,1,1
483,483,1,35,0,0,0,0,0,0,0
484,484,1,58,0,0,0,1,0,1,0
485,485,1,29,0,0,0,2,1,2,0
486,486,0,24,0,0,1,6,0,6,1
487,487,1,21,0,0,4,2,1,2,1
488,488,1,26,0,0,0,2,1,2,0
489,489,1,50,0,0,0,5,0,5,1
490,490,1,26,0,0,0,1,0,1,0
491,491,0,30,0,0,0,0,1,0,0
492,492,1,29,0,0,0,6,0,6,1
